id,title,description,requirements,conditions,locations,country,postedDate,employeeId,createdAt,key_skills,companyId,companyName,salary_from,salary_to,salary_currency,salary_gross,vacancy_url,job_text
116372235,"Ведущий специалист IT, бизнес-аналитики в отдел развития HR-систем",Участие во внедрении портала самообслуживания для сотрудников. Курирование разработки мобильного приложения для HR. Постановка задач для команды разработки. ,"Высшее образование в области IT, бизнес-аналитики или HR-технологий. Не менее 3 лет опыта работы в сфере HR, IT...",Полная занятость,Астана,Kazakhstan,2025-01-27T14:48:01+0300,1758066,2025-01-27T14:48:01+0300,"бизнес-аналитики, сфере, лет, Высшее, HR-технологий, или, образование, менее, опыта, работы, области",1758066,КОРПОРАЦИЯ КАЗАХМЫС,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/116372235,"Высшее образование в области IT, бизнес-аналитики или HR-технологий. Не менее 3 лет опыта работы в сфере HR, IT... бизнес-аналитики, сфере, лет, Высшее, HR-технологий, или, образование, менее, опыта, работы, области"
116523632,Junior Business Analyst,"Assist Project Manager in gathering business and technical requirements by working with stakeholders (internal and external). Gather required information, business...","Bachelor’s degree in Information Systems, Computer Science, or a related field (or last year of study). 1+ years...",Полная занятость,Астана,Kazakhstan,2025-01-29T16:38:52+0300,10354261,2025-01-29T16:38:52+0300,"last, years, field, Science, Computer, year, study, degree, Systems, related, Information, Bachelor",10354261,Частная компания Global DTC Kazakhstan,300000.0,250000.0,KZT,False,https://hh.ru/vacancy/116523632,"Bachelor’s degree in Information Systems, Computer Science, or a related field (or last year of study). 1+ years... last, years, field, Science, Computer, year, study, degree, Systems, related, Information, Bachelor"
116538573,Специалист службы поддержки психологов,Консультировать психологов через чат и телефон по вопросам работы платформы. Помогать в освоении функционала платформы и предоставлять инструкции и обучающие...,"Умение эффективно работать с инструментами Google (Таблицы, Документы) и программами Microsoft Office (Word, Excel). Опыт работы в поддержке клиентов будет...",Полная занятость,Астана,Kazakhstan,2025-01-30T09:07:54+0300,10588947,2025-01-30T09:07:54+0300,"Грамотная устная речь, Активное слушание, Решение проблем, Клиентоориентированность, Сопровождение клиентов, Работа с клиентами, Работа с обращениями",10588947,BrainEdTech,200000.0,400000.0,KZT,False,https://hh.ru/vacancy/116538573,"Умение эффективно работать с инструментами Google (Таблицы, Документы) и программами Microsoft Office (Word, Excel). Опыт работы в поддержке клиентов будет... Грамотная устная речь, Активное слушание, Решение проблем, Клиентоориентированность, Сопровождение клиентов, Работа с клиентами, Работа с обращениями"
116427152,Системный администратор Umag,"Приём и регистрация заявок, поступающих по АТС. Установка и настройка оборудования для кассиров и администраторов магазина. Установка и настройка программного...",Обладаешь знанием семейства ОС Microsoft Windows на уровне продвинутого пользователя. Обладаешь знаниями по установке и конфигурации периферийных устройств и локальной...,Полная занятость,Астана,Kazakhstan,2025-01-28T09:28:38+0300,10419844,2025-01-28T09:28:38+0300,"Настройка ПО, Администрирование серверов Windows, Администрирование сетевого оборудования",10419844,0sprava,150000.0,350000.0,KZT,False,https://hh.ru/vacancy/116427152,"Обладаешь знанием семейства ОС Microsoft Windows на уровне продвинутого пользователя. Обладаешь знаниями по установке и конфигурации периферийных устройств и локальной... Настройка ПО, Администрирование серверов Windows, Администрирование сетевого оборудования"
116355503,Системный администратор,"Проведение тестирования нового технологического функционала, организация тестовых стендов для разработчиков ПО. Ведение технической документации. Обслуживание серверного оборудования (установка, настройка, модернизация...","Администрирование Linux, Microsoft Windows Server 2008-2022 (AD, DNS, WSUS, DHCP, LDAP, Kerberos, роли FSMO, RemoteApp, GPO, PKI. ",Полная занятость,Астана,Kazakhstan,2025-01-27T12:41:31+0300,10163522,2025-01-27T12:41:31+0300,"Kerberos, роли, DHCP, RemoteApp, Linux, Администрирование, Server, 2008-2022, DNS, Windows, WSUS, PKI, FSMO, Microsoft, LDAP, GPO",10163522,RGM Global Group,400000.0,400000.0,KZT,False,https://hh.ru/vacancy/116355503,"Администрирование Linux, Microsoft Windows Server 2008-2022 (AD, DNS, WSUS, DHCP, LDAP, Kerberos, роли FSMO, RemoteApp, GPO, PKI.  Kerberos, роли, DHCP, RemoteApp, Linux, Администрирование, Server, 2008-2022, DNS, Windows, WSUS, PKI, FSMO, Microsoft, LDAP, GPO"
116564936,Системный администратор,"Устранение неполадок и решение технических проблем, связанных с компьютерным оборудованием, оргтехникой, телефонией, видеонаблюдением, программным обеспечением и сетевыми проблемами. ",Опыт с продуктом FortNet. Опыт работы системным администратором не менее 2-х лет. Знания пользовательских операционных систем (знание серверных систем...,Полная занятость,Астана,Kazakhstan,2025-01-30T13:57:49+0300,3724707,2025-01-30T13:57:49+0300,"администратором, FortNet, пользовательских, лет, операционных, систем, продуктом, Опыт, Знания, менее, серверных, 2-х, работы, знание, системным",3724707,ГК TERRA MOTORS,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/116564936,"Опыт с продуктом FortNet. Опыт работы системным администратором не менее 2-х лет. Знания пользовательских операционных систем (знание серверных систем... администратором, FortNet, пользовательских, лет, операционных, систем, продуктом, Опыт, Знания, менее, серверных, 2-х, работы, знание, системным"
116535409,Backend developer,Реализация новых функций и сервисов: Разработка и внедрение новых функциональных модулей и сервисов в соответствии с требованиями бизнеса. ,"Опыт работы с инфраструктурой Java-проектов (Maven/Gradle, JUnit, SVN). - Знание инструментов (Jira, Git). - Знание и опыт применения ORM (Hibernate...",Полная занятость,Астана,Kazakhstan,2025-01-30T07:51:32+0300,9437241,2025-01-30T07:51:32+0300,"применения, SVN, Hibernate, Jira, опыт, Git, ORM, Maven, Gradle, JUnit, инструментов, Java-проектов, работы, инфраструктурой, Опыт, Знание",9437241,Adamant Systems,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/116535409,"Опыт работы с инфраструктурой Java-проектов (Maven/Gradle, JUnit, SVN). - Знание инструментов (Jira, Git). - Знание и опыт применения ORM (Hibernate... применения, SVN, Hibernate, Jira, опыт, Git, ORM, Maven, Gradle, JUnit, инструментов, Java-проектов, работы, инфраструктурой, Опыт, Знание"
116455324,IT Project manager,"Вести проекты от старта до внедрения, контролировать работу команд. Разрабатывать проектные планы, схемы, документацию. Анализировать бизнес-процессы, метрики и поведение...","Опыт управления IT-проектами (2+ года). Навыки работы с проектной документацией, планированием, оценкой и управлением рисками. Опыт с Agile...",Полная занятость,Астана,Kazakhstan,2025-01-28T13:58:52+0300,4347716,2025-01-28T13:58:52+0300,"управлением, управления, проектной, планированием, Agile, года, рисками, IT-проектами, работы, документацией, Навыки, Опыт, оценкой",4347716,TargetAI Limited,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/116455324,"Опыт управления IT-проектами (2+ года). Навыки работы с проектной документацией, планированием, оценкой и управлением рисками. Опыт с Agile... управлением, управления, проектной, планированием, Agile, года, рисками, IT-проектами, работы, документацией, Навыки, Опыт, оценкой"
116505629,Ведущий QA инженер/AQA Engineer,"Проведение тестирования программного обеспечения. Написание автотестов, тестовых скриптов. Выполнение автоматических тестов (Pytest). Внесение обнаруженных недочетов, ошибок в трекинговую систему. ","Понимание процессов разработки и тестирования, знание жизненного цикла приложений. Понимание принципов работы клиент-серверных приложений, REST API. Опыт тестирования API...",Полная занятость,Астана,Kazakhstan,2025-01-29T12:53:38+0300,3333941,2025-01-29T12:53:38+0300,"Проведение тестирований, REST, API, SOAP, Beta-тестирования, Сосредоточенность, Умение работать в команде и самостоятельно, Автоматизированное тестирование",3333941,Inter Solutions,700000.0,900000.0,KZT,False,https://hh.ru/vacancy/116505629,"Понимание процессов разработки и тестирования, знание жизненного цикла приложений. Понимание принципов работы клиент-серверных приложений, REST API. Опыт тестирования API... Проведение тестирований, REST, API, SOAP, Beta-тестирования, Сосредоточенность, Умение работать в команде и самостоятельно, Автоматизированное тестирование"
116494834,"Преподаватель курса Frontend Developer (js, react)","Преподавание по утвержденным программам. Подготовка урока: мы предоставляем теоретический материал, записи уроков и домашние задания, но при этом у нас...","Наличие коммерческого опыта работы от 2-х лет с технологиями HTML, CSS, JavaScript, React, Redux. Знание баз данных - MySQL и...",Частичная занятость,Астана,Kazakhstan,2025-01-29T10:42:02+0300,5855549,2025-01-29T10:42:02+0300,"HTML, JavaScript, React, Redux, Преподаватель, Организация учебного процесса, Ответственность",5855549,Starta VC,1100.0,1800.0,EUR,True,https://hh.ru/vacancy/116494834,"Наличие коммерческого опыта работы от 2-х лет с технологиями HTML, CSS, JavaScript, React, Redux. Знание баз данных - MySQL и... HTML, JavaScript, React, Redux, Преподаватель, Организация учебного процесса, Ответственность"
